pl_r_uni_detected,pl_contrast_uni_detected,pl_universe_full_detected
0.79488386,0.00015653170686821832,76.0
1.2910799,0.00015109013660184783,110.0
0.72318039,0.00010723434085268695,133.0
1.1485957,0.00039643102506666265,141.0
1.5408283,0.0002573000676651597,146.0
0.90234554,0.00012889562535842985,156.0
1.3731078,0.00028741977403527703,176.0
1.2588271,0.0002903912761912706,201.0
1.6692403,0.00021856221135276897,205.0
0.93657634,0.00011036386638251643,211.0
0.83419367,0.0001068376185350411,217.0
1.0686614,0.0005228595695567739,234.0
1.7116885,0.00026259373771629266,239.0
0.73689494,0.00012261118107953774,244.0
3.0686472,2.939309250546429e-05,12.0
1.1485957,2.6771412680209726e-05,141.0
1.5408283,1.705537331716078e-05,146.0
1.2588271,1.9421430848202383e-05,201.0
1.0686614,3.441391314172959e-05,234.0
0.73689494,8.019229899647819e-06,244.0
1.4120435,0.00011100197344215765,34.0
1.9918197,0.00012904689409249664,116.0
0.66798406,5.950098346096521e-05,138.0
0.62539673,0.000145252628955739,69.0
0.44226457,0.0001975628294812165,79.0
1.0349867,0.00019059001108770888,120.0
0.39280086,0.00028467344889942646,219.0
1.4120435,7.148494323618002e-05,34.0
1.9918197,8.310581886919795e-05,116.0
0.66798406,3.831845771120829e-05,138.0
0.76192256,4.3938448043627276e-05,140.0
1.4120435,9.668521854451141e-05,34.0
1.9918197,0.000112402750788256,116.0
0.66798406,5.182669650945042e-05,138.0
0.76192256,5.942787752616779e-05,140.0
3.0686472,5.172113359048826e-05,12.0
0.79488386,1.7958358073198018e-05,76.0
1.1485957,4.710793229333753e-05,141.0
1.5408283,3.0011243002366274e-05,146.0
1.2588271,3.417464219634491e-05,201.0
1.0686614,6.055594860064377e-05,234.0
0.73689494,1.411092285901582e-05,244.0
0.79488386,1.3255567017700151e-05,76.0
1.1485957,3.47716840835002e-05,141.0
1.5408283,2.2152138924998588e-05,146.0
1.3731078,2.6218810127474597e-05,176.0
1.2588271,2.5225260466081273e-05,201.0
1.6692403,1.872635136807689e-05,205.0
1.0686614,4.46980415316607e-05,234.0
1.7116885,2.2728498420766383e-05,239.0
1.1485957,2.148829437227606e-05,141.0
1.3731078,1.6202767422971374e-05,176.0
1.0686614,2.762261016722839e-05,234.0
2.2554092,0.0002899212984716132,10.0
3.1468225,0.0012497973593827837,12.0
1.1372042,0.0003180515754833557,13.0
0.92239116,0.0009536361507481095,20.0
3.6060317,0.0006854188754053335,20.0
2.8035747,0.0009465071267131044,24.0
2.7367606,0.000783465073311176,25.0
1.4657216,0.00016744682185863803,25.0
2.2385506,0.0004333098751542134,26.0
1.3873404,0.00021638523986048682,26.0
1.3251392,0.0002057155146965134,28.0
1.1963938,0.0002150531079698008,29.0
1.944491,0.00026993159683711055,31.0
3.1687925,0.0013880311895908188,31.0
0.57150117,0.0015787438413629334,32.0
6.7177873,0.0014564279204474797,32.0
2.7996933,0.0004965516399214966,34.0
1.4323608,0.0002839240364669988,34.0
0.75387551,0.0005497869889601309,37.0
0.68644846,0.00035758423387203126,44.0
1.0987342,0.0011325649646411662,44.0
1.4134481,0.00014795725422230246,46.0
2.3012109,0.0002971097419272875,46.0
1.9396009,0.000558856006356469,55.0
1.4373537,0.0005593194364456229,65.0
0.71421304,0.00025792911414449497,67.0
1.9708849,0.0006981048182056238,70.0
2.2321058,0.0006881923582440382,75.0
1.4087524,0.0002920240530548932,75.0
1.300431,0.000522483964099008,76.0
0.80023692,0.0003988859674455665,76.0
2.0700828,0.0006098713495082812,78.0
1.6399455,0.0003981409915933148,83.0
2.7754293,0.0004473757489977568,89.0
3.2818262,0.00159072204596157,96.0
1.2478623,0.00018782105237431302,100.0
1.9778016,0.0002897479025699178,100.0
2.1337033,0.0003328782205927244,101.0
1.3329702,0.00022131373956127631,101.0
2.054462,0.0006670762690114328,110.0
1.2989363,0.0003524511885389476,110.0
4.5411801,0.0014317415517669262,115.0
5.2036369,0.0010387644943153252,116.0
1.3539474,0.00017099350778533768,118.0
2.1790376,0.0004977790286365572,118.0
1.4985217,0.000408793403676447,122.0
1.2538277,0.0005006512485125334,128.0
0.67800272,0.0002463968708725783,130.0
1.4462803,0.00011291361654935008,132.0
0.74192671,0.00025722838361815344,133.0
1.5635298,0.001584071783425685,133.0
2.1405059,0.0011363915470484392,141.0
0.85205246,0.0004601166151089251,141.0
1.6021372,0.0009449003007475682,146.0
1.1241185,0.0006663256118572544,156.0
1.2289486,0.00019015251164609782,169.0
1.2045202,0.0006940277323489887,172.0
3.3898328,0.0004184175540031726,172.0
3.427828,0.0004162417577916604,173.0
1.3448549,0.00015860952648438925,173.0
1.5864137,0.0004355227661115492,174.0
1.557414,0.0005800070071227581,176.0
1.3699615,0.00016138400267881725,181.0
1.9386309,0.0014918693425073522,189.0
4.8779155,0.000322560744833034,192.0
1.6997595,0.0003146997181709296,193.0
1.8590368,0.00020735321683024125,194.0
2.9882234,0.001636192307118782,194.0
0.64628116,0.0002817656618349653,197.0
3.6049278,0.00025011506631052594,198.0
1.4407772,0.0009302017857352723,201.0
3.6755646,0.0007594375852703023,202.0
1.2503847,0.00025068755960973706,202.0
1.7255508,0.0008827408686503823,205.0
1.4968257,0.00015446279815620163,209.0
1.1052315,0.0007014006472424129,211.0
2.4780252,0.0005066915578632711,212.0
1.9616982,0.001333021413980437,212.0
0.60768439,0.00021939994524304443,212.0
6.9869616,0.0014916685657134863,213.0
1.3371963,0.00016016493184007892,215.0
1.8179875,0.00016511100733065947,220.0
1.4710691,0.0002071199093254445,222.0
1.9302971,0.0002330998476917592,222.0
3.4184895,0.0002454272145710997,233.0
1.2585081,0.00013314185111436348,233.0
1.0998522,0.0011284077269484724,234.0
1.362762,0.00014833416631352886,236.0
7.7848283,0.0008119623828438563,236.0
1.8898388,0.0008928318365928501,239.0
1.1818651,0.0006338841818225642,244.0
0.75055665,0.0003606167895649208,244.0
