# name,planet_status,mass,mass_error_min,mass_error_max,mass_sini,mass_sini_error_min,mass_sini_error_max,radius,radius_error_min,radius_error_max,orbital_period,orbital_period_error_min,orbital_period_error_max,semi_major_axis,semi_major_axis_error_min,semi_major_axis_error_max,eccentricity,eccentricity_error_min,eccentricity_error_max,inclination,inclination_error_min,inclination_error_max,angular_distance,discovered,updated,omega,omega_error_min,omega_error_max,tperi,tperi_error_min,tperi_error_max,tconj,tconj_error_min,tconj_error_max,tzero_tr,tzero_tr_error_min,tzero_tr_error_max,tzero_tr_sec,tzero_tr_sec_error_min,tzero_tr_sec_error_max,lambda_angle,lambda_angle_error_min,lambda_angle_error_max,impact_parameter,impact_parameter_error_min,impact_parameter_error_max,tzero_vr,tzero_vr_error_min,tzero_vr_error_max,k,k_error_min,k_error_max,temp_calculated,temp_calculated_error_min,temp_calculated_error_max,temp_measured,hot_point_lon,geometric_albedo,geometric_albedo_error_min,geometric_albedo_error_max,log_g,publication,detection_type,mass_detection_type,radius_detection_type,alternate_names,molecules,star_name,ra,dec,mag_v,mag_i,mag_j,mag_h,mag_k,star_distance,star_distance_error_min,star_distance_error_max,star_metallicity,star_metallicity_error_min,star_metallicity_error_max,star_mass,star_mass_error_min,star_mass_error_max,star_radius,star_radius_error_min,star_radius_error_max,star_sp_type,star_age,star_age_error_min,star_age_error_max,star_teff,star_teff_error_min,star_teff_error_max,star_detected_disc,star_magnetic_field,star_alternate_names
HD 4747 b,Confirmed,66.6,3.5,3.5,,,,,,,12090.0,256.0,256.0,16.4,3.3,3.9,0.734,0.003,0.003,50.0,3.5,3.5,,2016,2020-07-07,87.7,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,755.3,11.6,12.4,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,HD 4747,12.3615223839,-23.2124822084,7.15,,,,,18.69,0.19,0.19,-0.22,0.04,0.04,0.82,0.04,0.04,0.79,0.03,0.03,G9V,3.3,1.9,2.3,5340.0,40.0,40.0,,,
HD 60532 b,Confirmed,9.21,0.0,0.0,3.15,,,,,,201.83,0.14,0.14,0.77,,,0.278,0.006,0.006,20.0,0.0,0.0,0.029961,2008,2012-01-30,352.83,1.05,1.05,54000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 60532,113.5125,-22.2961111,4.45,,,,,25.7,,,-0.26,,,1.44,0.1,0.1,,,,F6IV-V,2.7,0.1,0.1,6095.0,,,,,
HD 60532 c,Confirmed,21.81,0.0,0.0,7.46,,,,,,607.06,2.1,2.1,1.58,,,0.038,0.008,0.008,20.0,0.0,0.0,0.061479,2008,2012-01-30,119.49,9.14,9.14,54000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 60532,113.5125,-22.2961111,4.45,,,,,25.7,,,-0.26,,,1.44,0.1,0.1,,,,F6IV-V,2.7,0.1,0.1,6095.0,,,,,
HD 68988 c,Confirmed,15.0,1.5,2.8,15.0,1.5,2.8,,,,12700.0,9000.0,9000.0,13.2,2.0,5.3,0.45,0.08,0.13,,,,0.103448,2006,2021-05-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,HD 68988,124.5916667,61.4605556,8.21,,,,,58.0,,,0.24,,,1.2,,,1.14,,,G0,6.78,,,5767.0,,,,,
HD 69830 b,Confirmed,0.1427,0.0928,inf,0.0321,,,,,,8.6682,0.0004,0.0004,0.0785,,,0.07,0.03,0.03,13.0,13.0,27.0,0.00623,2006,2019-02-13,340.0,26.0,26.0,2453496.8,0.6,0.6,,,,,,,,,,,,,,,,,,,3.47,0.11,0.11,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,HD 69830,124.5958333,-12.6319444,5.95,,,,,12.6,,,-0.05,0.02,0.02,0.86,0.03,0.03,0.895,0.005,0.005,K0V,7.0,3.0,3.0,5385.0,20.0,20.0,IR Excess,,
HD 69830 c,Confirmed,0.1649,0.1072,inf,0.0371,,,,,,31.601,0.006,0.006,0.186,,,0.06,0.05,0.05,13.0,13.0,27.0,0.014762,2006,2019-02-12,221.0,35.0,35.0,2453469.6,2.8,2.8,,,,,,,,,,,,,,,,,,,2.66,0.13,0.13,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,HD 69830,124.5958333,-12.6319444,5.95,,,,,12.6,,,-0.05,0.02,0.02,0.86,0.03,0.03,0.895,0.005,0.005,K0V,7.0,3.0,3.0,5385.0,20.0,20.0,IR Excess,,
HD 69830 d,Confirmed,0.2529,0.1644,inf,0.0569,,,,,,200.57,0.37,0.37,0.63,,,0.1,0.06,0.06,13.0,13.0,27.0,0.05,2006,2019-02-13,224.0,61.0,61.0,2453358.0,34.0,34.0,,,,,,,,,,,,,,,,,,,1.77,0.12,0.12,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,HD 69830,124.5958333,-12.6319444,5.95,,,,,12.6,,,-0.05,0.02,0.02,0.86,0.03,0.03,0.895,0.005,0.005,K0V,7.0,3.0,3.0,5385.0,20.0,20.0,IR Excess,,
HD 81040 b,Confirmed,8.04,0.54,0.66,6.86,0.71,0.71,,,,1001.7,7.0,7.0,1.94,,,0.526,0.042,0.042,,,,0.059582,2005,2022-02-01,81.3,7.2,7.2,2452504.0,12.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,Astrometry,,,,HD 81040,140.9458333,20.3644444,7.72,,,,,32.56,1.31,1.31,-0.16,0.06,0.06,0.96,0.04,0.04,0.86,0.04,0.04,G2/G3,4.18,,,5700.0,50.0,50.0,,,
HD 82943 b,Confirmed,14.5,,,4.8,,,,,,442.4,,,1.19,0.0,0.0,0.203,,,19.4,,,0.043336,2003,2013-09-09,107.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 82943,143.7083333,-12.1294444,6.54,,,,,27.46,,,0.32,,,1.18,,,1.12,,,G0,3.08,,,5874.0,,,IR Excess,,
HD 82943 c,Confirmed,14.39,,,4.78,,,,,,219.3,,,0.746,0.0,0.0,0.425,,,19.4,,,0.027167,2003,2013-09-09,133.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 82943,143.7083333,-12.1294444,6.54,,,,,27.46,,,0.32,,,1.18,,,1.12,,,G0,3.08,,,5874.0,,,IR Excess,,
